BioProject,#Organism Name,Organism Groups,Strain,BioSample,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
PRJNA702529,Medicago truncatula,Eukaryota;Plants;Land Plants,,SAMN08400029,GCA_003473485.2, Chromosome,430.008,33.4462,chromosome 1:NC_053042.1/CM010648.1; chromosome 2:NC_053043.1/CM010649.1; chromosome 3:NC_053044.1/CM010650.1; chromosome 4:NC_053045.1/CM010651.1; chromosome 5:NC_053046.1/CM010652.1; chromosome 6:NC_053047.1/CM010653.1; chromosome 7:NC_053048.1/CM010654.1; chromosome 8:NC_053049.1/CM010655.1; mitochondrion MT:NC_029641.1/; chloroplast Pltd:NC_003119.8/,PSQE01,42,42683,2018-09-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/473/485/GCA_003473485.2_MtrunA17r5.0-ANR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/473/485/GCF_003473485.1_MtrunA17r5.0-ANR
PRJNA764258,Triticum aestivum,Eukaryota;Plants;Land Plants,,SAMN16451473,GCA_018294505.1, Chromosome,14567.0,46.215,chromosome 1A:NC_057794.1/CM031178.1; chromosome 1B:NC_057795.1/CM031179.1; chromosome 1D:NC_057796.1/CM031180.1; chromosome 2A:NC_057797.1/CM031181.1; chromosome 2B:NC_057798.1/CM031182.1; chromosome 2D:NC_057799.1/CM031183.1; chromosome 3A:NC_057800.1/CM031184.1; chromosome 3B:NC_057801.1/CM031185.1; chromosome 3D:NC_057802.1/CM031186.1; chromosome 4A:NC_057803.1/CM031187.1; chromosome 4B:NC_057804.1/CM031188.1; chromosome 4D:NC_057805.1/CM031189.1; chromosome 5A:NC_057806.1/CM031190.1; chromosome 5B:NC_057807.1/CM031191.1; chromosome 5D:NC_057808.1/CM031192.1; chromosome 6A:NC_057809.1/CM031193.1; chromosome 6B:NC_057810.1/CM031194.1; chromosome 6D:NC_057811.1/CM031195.1; chromosome 7A:NC_057812.1/CM031196.1; chromosome 7B:NC_057813.1/CM031197.1; chromosome 7D:NC_057814.1/CM031198.1; mitochondrion MT:NC_036024.1/,JAGHKL01,91589,142442,2021-05-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/294/505/GCA_018294505.1_IWGSC_CS_RefSeq_v2.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/294/505/GCF_018294505.1_IWGSC_CS_RefSeq_v2.1
PRJNA392114,Aedes aegypti,Eukaryota;Animals;Insects,LVP_AGWG,SAMN07177802,GCA_002204515.1, Chromosome,1278.73,38.1667,chromosome 1:NC_035107.1/CM008043.1; chromosome 2:NC_035108.1/CM008044.1; chromosome 3:NC_035109.1/CM008045.1; mitochondrion MT:NC_035159.1/MF194022.1,NIGP01,2310,28317,2017-06-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/204/515/GCA_002204515.1_AaegL5.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0
PRJNA552090,Aedes albopictus,Eukaryota;Animals;Insects,FPA,SAMN11317331,GCA_006496715.1,Scaffold,2538.39,40.3999,mitochondrion MT:NC_006817.1/,SWKY01,2197,40086,2019-06-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/496/715/GCA_006496715.1_Aalbo_primary.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/496/715/GCF_006496715.1_Aalbo_primary.1
PRJNA477511,Apis mellifera,Eukaryota;Animals;Insects,DH4,SAMN09259743,GCA_003254395.2, Chromosome,225.251,32.6352,linkage group LG1:NC_037638.1/CM009931.2; linkage group LG2:NC_037639.1/CM009932.2; linkage group LG3:NC_037640.1/CM009933.2; linkage group LG4:NC_037641.1/CM009934.2; linkage group LG5:NC_037642.1/CM009935.2; linkage group LG6:NC_037643.1/CM009936.2; linkage group LG7:NC_037644.1/CM009937.2; linkage group LG8:NC_037645.1/CM009938.2; linkage group LG9:NC_037646.1/CM009939.2; linkage group LG10:NC_037647.1/CM009940.2; linkage group LG11:NC_037648.1/CM009941.2; linkage group LG12:NC_037649.1/CM009942.2; linkage group LG13:NC_037650.1/CM009943.2; linkage group LG14:NC_037651.1/CM009944.2; linkage group LG15:NC_037652.1/CM009945.2; linkage group LG16:NC_037653.1/CM009946.2; mitochondrion MT:NC_001566.1/CM009947.2,QIUM02,177,23471,2018-06-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/254/395/GCA_003254395.2_Amel_HAv3.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1
PRJNA559484,Homo sapiens,Eukaryota;Animals;Mammals,,SAMN03255769,GCA_009914755.4,Complete,3117.29,40.7378,chromosome 1:CP068277.2; chromosome 2:CP068276.2; chromosome 3:CP068275.2; chromosome 4:CP068274.2; chromosome 5:CP068273.2; chromosome 6:CP068272.2; chromosome 7:CP068271.2; chromosome 8:CP068270.2; chromosome 9:CP068269.2; chromosome 10:CP068268.2; chromosome 11:CP068267.2; chromosome 12:CP068266.2; chromosome 13:CP068265.2; chromosome 14:CP068264.2; chromosome 15:CP068263.2; chromosome 16:CP068262.2; chromosome 17:CP068261.2; chromosome 18:CP068260.2; chromosome 19:CP068259.2; chromosome 20:CP068258.2; chromosome 21:CP068257.2; chromosome 22:CP068256.2; chromosome X:CP068255.2; chromosome Y:CP086569.2; mitochondrion MT:CP068254.1,,25,0,2021-01-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/914/755/GCA_009914755.4_CHM13_T2T_v2.0,
PRJNA677964,Rattus norvegicus,Eukaryota;Animals;Mammals,BN/NHsdMcwi,SAMN16261960,GCA_015227675.2, Chromosome,2647.92,42.0588,chromosome 1:NC_051336.1/CM026974.1; chromosome 2:NC_051337.1/CM026975.1; chromosome 3:NC_051338.1/CM026976.1; chromosome 4:NC_051339.1/CM026977.1; chromosome 5:NC_051340.1/CM026978.1; chromosome 6:NC_051341.1/CM026979.1; chromosome 7:NC_051342.1/CM026980.1; chromosome 8:NC_051343.1/CM026981.1; chromosome 9:NC_051344.1/CM026982.1; chromosome 10:NC_051345.1/CM026983.1; chromosome 11:NC_051346.1/CM026984.1; chromosome 12:NC_051347.1/CM026985.1; chromosome 13:NC_051348.1/CM026986.1; chromosome 14:NC_051349.1/CM026987.1; chromosome 15:NC_051350.1/CM026988.1; chromosome 16:NC_051351.1/CM026989.1; chromosome 17:NC_051352.1/CM026990.1; chromosome 18:NC_051353.1/CM026991.1; chromosome 19:NC_051354.1/CM026992.1; chromosome 20:NC_051355.1/CM026993.1; chromosome X:NC_051356.1/CM026994.1; chromosome Y:NC_051357.1/CM026995.1; mitochondrion MT:AY172581.1,JACYVU01,176,74754,2020-11-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/227/675/GCA_015227675.2_mRatBN7.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/227/675/GCF_015227675.2_mRatBN7.2
PRJNA506972,Coffea arabica,Eukaryota;Plants;Land Plants,CCC135-36,SAMN10272287,GCA_003713225.1, Chromosome,1094.45,36.9585,chromosome 1c:NC_039898.1/CM011106.1; chromosome 1e:NC_039899.1/CM011107.1; chromosome 2c:NC_039900.1/CM011108.1; chromosome 2e:NC_039901.1/CM011109.1; chromosome 3c:NC_039902.1/CM011110.1; chromosome 3e:NC_039903.1/CM011111.1; chromosome 4c:NC_039904.1/CM011112.1; chromosome 4e:NC_039905.1/CM011113.1; chromosome 5e:NC_039906.1/CM011115.1; chromosome 5c:NC_039907.1/CM011114.1; chromosome 6c:NC_039908.1/CM011116.1; chromosome 6e:NC_039909.1/CM011117.1; chromosome 7c:NC_039910.1/CM011118.1; chromosome 7e:NC_039911.1/CM011119.1; chromosome 8e:NC_039912.1/CM011121.1; chromosome 8c:NC_039913.1/CM011120.1; chromosome 9c:NC_039914.1/CM011122.1; chromosome 9e:NC_039915.1/CM011123.1; chromosome 10e:NC_039916.1/CM011103.1; chromosome 10c:NC_039917.1/CM011102.1; chromosome 11c:NC_039918.1/CM011104.1; chromosome 11e:NC_039919.1/CM011105.1; chloroplast Pltd:NC_008535.1/,RHJU01,2833,67222,2018-11-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/225/GCA_003713225.1_Cara_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/713/225/GCF_003713225.1_Cara_1.0
PRJNA773801,Felis catus,Eukaryota;Animals;Mammals,Fca126,SAMN19729387,GCA_018350175.1, Chromosome,2425.75,41.8091,chromosome A1:NC_058368.1/CM031412.1; chromosome A2:NC_058369.1/CM031413.1; chromosome A3:NC_058370.1/CM031414.1; chromosome B1:NC_058371.1/CM031415.1; chromosome B2:NC_058372.1/CM031416.1; chromosome B3:NC_058373.1/CM031417.1; chromosome B4:NC_058374.1/CM031418.1; chromosome C1:NC_058375.1/CM031419.1; chromosome C2:NC_058376.1/CM031420.1; chromosome D1:NC_058377.1/CM031421.1; chromosome D2:NC_058378.1/CM031422.1; chromosome D3:NC_058379.1/CM031423.1; chromosome D4:NC_058380.1/CM031424.1; chromosome E1:NC_058381.1/CM031425.1; chromosome E2:NC_058382.1/CM031426.1; chromosome E3:NC_058383.1/CM031427.1; chromosome F1:NC_058384.1/CM031428.1; chromosome F2:NC_058385.1/CM031429.1; chromosome X:NC_058386.1/CM031411.1; mitochondrion MT:NC_001700.1/,JAFEKA01,71,71463,2021-05-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/350/175/GCA_018350175.1_F.catus_Fca126_mat1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/350/175/GCF_018350175.1_F.catus_Fca126_mat1.0
PRJNA338693,Xenopus laevis,Eukaryota;Animals;Amphibians,J_2021,SAMN18035302,GCA_017654675.1, Chromosome,2742.47,39.3485,chromosome 1L:NC_054371.1/CM030340.1; chromosome 1S:NC_054372.1/CM030341.1; chromosome 2L:NC_054373.1/CM030342.1; chromosome 2S:NC_054374.1/CM030343.1; chromosome 3L:NC_054375.1/CM030344.1; chromosome 3S:NC_054376.1/CM030345.1; chromosome 4L:NC_054377.1/CM030346.1; chromosome 4S:NC_054378.1/CM030347.1; chromosome 5L:NC_054379.1/CM030348.1; chromosome 5S:NC_054380.1/CM030349.1; chromosome 6L:NC_054381.1/CM030350.1; chromosome 6S:NC_054382.1/CM030351.1; chromosome 7L:NC_054383.1/CM030352.1; chromosome 7S:NC_054384.1/CM030353.1; chromosome 8L:NC_054385.1/CM030354.1; chromosome 8S:NC_054386.1/CM030355.1; chromosome 9_10L:NC_054387.1/CM030356.1; chromosome 9_10S:NC_054388.1/CM030357.1; mitochondrion MT:NC_001573.1/,JAGEVR01,55,72913,2021-03-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/654/675/GCA_017654675.1_Xenopus_laevis_v10.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/654/675/GCF_017654675.1_Xenopus_laevis_v10.1
